LSU_rRNA_eukarya 1-3401 (+1)	=> 8855-11955 (-1)
LSU_rRNA_archaea 252-258 (+1)	=> 11843-11849 (-1)
LSU_rRNA_archaea 286-313 (+1)	=> 11680-11707 (-1)
LSU_rRNA_archaea 314-325 (+1)	=> 11663-11674 (-1)
LSU_rRNA_archaea 326-377 (+1)	=> 11609-11660 (-1)
LSU_rRNA_archaea 378-382 (+1)	=> 11603-11607 (-1)
LSU_rRNA_archaea 383-389 (+1)	=> 11594-11600 (-1)
LSU_rRNA_archaea 390-403 (+1)	=> 11579-11592 (-1)
LSU_rRNA_archaea 416-423 (+1)	=> 11545-11552 (-1)
LSU_rRNA_archaea 424-429 (+1)	=> 11536-11541 (-1)
LSU_rRNA_archaea 430-450 (+1)	=> 11514-11534 (-1)
LSU_rRNA_archaea 452-517 (+1)	=> 11448-11513 (-1)
LSU_rRNA_archaea 521-563 (+1)	=> 11405-11447 (-1)
LSU_rRNA_archaea 624-675 (+1)	=> 11339-11390 (-1)
LSU_rRNA_archaea 676-687 (+1)	=> 11326-11337 (-1)
LSU_rRNA_archaea 688-709 (+1)	=> 11301-11322 (-1)
LSU_rRNA_archaea 756-813 (+1)	=> 11235-11292 (-1)
LSU_rRNA_archaea 815-839 (+1)	=> 11210-11234 (-1)
LSU_rRNA_archaea 840-847 (+1)	=> 11201-11208 (-1)
LSU_rRNA_archaea 848-954 (+1)	=> 11093-11199 (-1)
LSU_rRNA_archaea 955-980 (+1)	=> 11066-11091 (-1)
LSU_rRNA_archaea 1007-1033 (+1)	=> 11010-11036 (-1)
LSU_rRNA_archaea 1034-1061 (+1)	=> 10980-11007 (-1)
LSU_rRNA_archaea 1065-1101 (+1)	=> 10943-10979 (-1)
LSU_rRNA_archaea 1103-1132 (+1)	=> 10913-10942 (-1)
LSU_rRNA_archaea 1133-1239 (+1)	=> 10801-10907 (-1)
LSU_rRNA_archaea 1241-1273 (+1)	=> 10768-10800 (-1)
LSU_rRNA_archaea 1275-1280 (+1)	=> 10762-10767 (-1)
LSU_rRNA_archaea 1284-1318 (+1)	=> 10727-10761 (-1)
LSU_rRNA_archaea 1320-1384 (+1)	=> 10662-10726 (-1)
LSU_rRNA_archaea 1385-1412 (+1)	=> 10633-10660 (-1)
LSU_rRNA_archaea 1414-1463 (+1)	=> 10583-10632 (-1)
LSU_rRNA_archaea 1722-1750 (+1)	=> 10128-10156 (-1)
LSU_rRNA_archaea 1751-1771 (+1)	=> 10106-10126 (-1)
LSU_rRNA_archaea 1772-1775 (+1)	=> 10101-10104 (-1)
LSU_rRNA_archaea 1776-1839 (+1)	=> 10036-10099 (-1)
LSU_rRNA_archaea 1841-1847 (+1)	=> 10029-10035 (-1)
LSU_rRNA_archaea 1849-1962 (+1)	=> 9915-10028 (-1)
LSU_rRNA_archaea 1977-2229 (+1)	=> 9639-9891 (-1)
LSU_rRNA_archaea 2230-2279 (+1)	=> 9574-9623 (-1)
LSU_rRNA_archaea 2285-2322 (+1)	=> 9514-9551 (-1)
LSU_rRNA_archaea 2323-2366 (+1)	=> 9469-9512 (-1)
LSU_rRNA_archaea 2367-2422 (+1)	=> 9409-9464 (-1)
LSU_rRNA_archaea 2423-2460 (+1)	=> 9368-9405 (-1)
LSU_rRNA_archaea 2461-2491 (+1)	=> 9336-9366 (-1)
LSU_rRNA_archaea 2495-2688 (+1)	=> 9142-9335 (-1)
LSU_rRNA_archaea 2693-2710 (+1)	=> 9124-9141 (-1)
LSU_rRNA_archaea 2711-2765 (+1)	=> 9068-9122 (-1)
LSU_rRNA_archaea 2767-2770 (+1)	=> 9064-9067 (-1)
LSU_rRNA_archaea 2772-2798 (+1)	=> 9037-9063 (-1)
LSU_rRNA_archaea 2800-2812 (+1)	=> 9024-9036 (-1)
LSU_rRNA_archaea 2813-2851 (+1)	=> 8978-9016 (-1)
LSU_rRNA_archaea 2852-2893 (+1)	=> 8931-8972 (-1)
LSU_rRNA_archaea 2894-2894 (+1)	=> 8928-8928 (-1)
LSU_rRNA_archaea 2895-2900 (+1)	=> 8916-8921 (-1)
LSU_rRNA_archaea 2902-2922 (+1)	=> 8895-8915 (-1)
LSU_rRNA_archaea 2923-2936 (+1)	=> 8876-8889 (-1)

LSU_rRNA_bacteria 1-2925 (+1)	=> 8930-12098 (-1)
Percent identity: 
Cigar string: 14MI30M4I38M4I26MI18MI12M6I21MIM2I97M133I14D40M6I40M3I18MD18M28I21D92MI17M2D37M6D60MI9MI27M4I4M3I60MD180M4D40MD20M2D226M6D5MD22MD93MD75M3D13M149I14D13M214I177D126MI132M2I7M4I258M9I3M6I49MD7MD11M4D84M4I319M4D120M7I36M11I3M5I49MD22M5IMI12M
ungapped:
LSU_rRNA_bacteria 1-14 (+1)	=> 12085-12098 (-1)
LSU_rRNA_bacteria 15-44 (+1)	=> 12054-12083 (-1)
LSU_rRNA_bacteria 45-82 (+1)	=> 12012-12049 (-1)
LSU_rRNA_bacteria 83-108 (+1)	=> 11982-12007 (-1)
LSU_rRNA_bacteria 109-126 (+1)	=> 11963-11980 (-1)
LSU_rRNA_bacteria 127-138 (+1)	=> 11950-11961 (-1)
LSU_rRNA_bacteria 139-159 (+1)	=> 11923-11943 (-1)
LSU_rRNA_bacteria 160-160 (+1)	=> 11921-11921 (-1)
LSU_rRNA_bacteria 161-257 (+1)	=> 11822-11918 (-1)
LSU_rRNA_bacteria 272-311 (+1)	=> 11649-11688 (-1)
LSU_rRNA_bacteria 312-351 (+1)	=> 11603-11642 (-1)
LSU_rRNA_bacteria 352-369 (+1)	=> 11582-11599 (-1)
LSU_rRNA_bacteria 371-388 (+1)	=> 11564-11581 (-1)
LSU_rRNA_bacteria 410-501 (+1)	=> 11444-11535 (-1)
LSU_rRNA_bacteria 502-518 (+1)	=> 11426-11442 (-1)
LSU_rRNA_bacteria 521-557 (+1)	=> 11389-11425 (-1)
LSU_rRNA_bacteria 564-623 (+1)	=> 11329-11388 (-1)
LSU_rRNA_bacteria 624-632 (+1)	=> 11319-11327 (-1)
LSU_rRNA_bacteria 633-659 (+1)	=> 11291-11317 (-1)
LSU_rRNA_bacteria 660-663 (+1)	=> 11283-11286 (-1)
LSU_rRNA_bacteria 664-723 (+1)	=> 11220-11279 (-1)
LSU_rRNA_bacteria 725-904 (+1)	=> 11040-11219 (-1)
LSU_rRNA_bacteria 909-948 (+1)	=> 11000-11039 (-1)
LSU_rRNA_bacteria 950-969 (+1)	=> 10980-10999 (-1)
LSU_rRNA_bacteria 972-1197 (+1)	=> 10754-10979 (-1)
LSU_rRNA_bacteria 1204-1208 (+1)	=> 10749-10753 (-1)
LSU_rRNA_bacteria 1210-1231 (+1)	=> 10727-10748 (-1)
LSU_rRNA_bacteria 1233-1325 (+1)	=> 10634-10726 (-1)
LSU_rRNA_bacteria 1327-1401 (+1)	=> 10559-10633 (-1)
LSU_rRNA_bacteria 1405-1417 (+1)	=> 10546-10558 (-1)
LSU_rRNA_bacteria 1432-1444 (+1)	=> 10384-10396 (-1)
LSU_rRNA_bacteria 1622-1747 (+1)	=> 10044-10169 (-1)
LSU_rRNA_bacteria 1748-1879 (+1)	=> 9911-10042 (-1)
LSU_rRNA_bacteria 1880-1886 (+1)	=> 9902-9908 (-1)
LSU_rRNA_bacteria 1887-2144 (+1)	=> 9640-9897 (-1)
LSU_rRNA_bacteria 2145-2147 (+1)	=> 9628-9630 (-1)
LSU_rRNA_bacteria 2148-2196 (+1)	=> 9573-9621 (-1)
LSU_rRNA_bacteria 2198-2204 (+1)	=> 9566-9572 (-1)
LSU_rRNA_bacteria 2206-2216 (+1)	=> 9555-9565 (-1)
LSU_rRNA_bacteria 2221-2304 (+1)	=> 9471-9554 (-1)
LSU_rRNA_bacteria 2305-2623 (+1)	=> 9148-9466 (-1)
LSU_rRNA_bacteria 2628-2747 (+1)	=> 9028-9147 (-1)
LSU_rRNA_bacteria 2748-2783 (+1)	=> 8985-9020 (-1)
LSU_rRNA_bacteria 2784-2786 (+1)	=> 8971-8973 (-1)
LSU_rRNA_bacteria 2787-2835 (+1)	=> 8917-8965 (-1)
LSU_rRNA_bacteria 2837-2858 (+1)	=> 8895-8916 (-1)
LSU_rRNA_bacteria 2859-2859 (+1)	=> 8889-8889 (-1)
LSU_rRNA_bacteria 2860-2871 (+1)	=> 8876-8887 (-1)

PK-G12rRNA 1-108 (+1)	=> 9415-9518 (-1)
Percent identity: 
Cigar string: 19M9I13D76M
ungapped:
PK-G12rRNA 1-19 (+1)	=> 9500-9518 (-1)
PK-G12rRNA 33-108 (+1)	=> 9415-9490 (-1)

Intron_gpII 1-93 (+1)	=> 20718-20779 (-1)
Percent identity: 
Cigar string: 49M3I34D10M
ungapped:
Intron_gpII 1-49 (+1)	=> 20731-20779 (-1)
Intron_gpII 84-93 (+1)	=> 20718-20727 (-1)

Intron_gpII 1-93 (+1)	=> 22087-22172 (-1)
Percent identity: 
Cigar string: 48M27I35D8MD2M
ungapped:
Intron_gpII 1-48 (+1)	=> 22125-22172 (-1)
Intron_gpII 84-91 (+1)	=> 22090-22097 (-1)
Intron_gpII 93-94 (+1)	=> 22088-22089 (-1)

Intron_gpII 1-93 (+1)	=> 27079-27209 (-1)
Percent identity: 
Cigar string: 53M38D40M
ungapped:
Intron_gpII 1-53 (+1)	=> 27157-27209 (-1)
Intron_gpII 92-131 (+1)	=> 27117-27156 (-1)

Intron_gpII 1-93 (+1)	=> 40585-40662 (-1)
Percent identity: 
Cigar string: 45M16I30MD2M
ungapped:
Intron_gpII 1-45 (+1)	=> 40618-40662 (-1)
Intron_gpII 46-75 (+1)	=> 40572-40601 (-1)
Intron_gpII 77-78 (+1)	=> 40570-40571 (-1)

Intron_gpII 1-93 (+1)	=> 80119-80189 (-1)
Percent identity: 
Cigar string: 38M13D7M35I13M
ungapped:
Intron_gpII 1-38 (+1)	=> 80152-80189 (-1)
Intron_gpII 52-58 (+1)	=> 80145-80151 (-1)
Intron_gpII 59-71 (+1)	=> 80097-80109 (-1)

LSU_rRNA_bacteria 862-1231 (+1)	=> 129133-129478 (-1)
Percent identity: 
Cigar string: 20M85I101D13M3I5M2I90MD55M6D13M3D21M2I6MI9MI7M5I4M4I8M
ungapped:
LSU_rRNA_bacteria 862-881 (+1)	=> 129459-129478 (-1)
LSU_rRNA_bacteria 983-995 (+1)	=> 129361-129373 (-1)
LSU_rRNA_bacteria 996-1000 (+1)	=> 129353-129357 (-1)
LSU_rRNA_bacteria 1001-1090 (+1)	=> 129261-129350 (-1)
LSU_rRNA_bacteria 1092-1146 (+1)	=> 129206-129260 (-1)
LSU_rRNA_bacteria 1153-1165 (+1)	=> 129193-129205 (-1)
LSU_rRNA_bacteria 1169-1189 (+1)	=> 129172-129192 (-1)
LSU_rRNA_bacteria 1190-1195 (+1)	=> 129164-129169 (-1)
LSU_rRNA_bacteria 1196-1204 (+1)	=> 129154-129162 (-1)
LSU_rRNA_bacteria 1205-1211 (+1)	=> 129146-129152 (-1)
LSU_rRNA_bacteria 1212-1215 (+1)	=> 129137-129140 (-1)
LSU_rRNA_bacteria 1216-1223 (+1)	=> 129125-129132 (-1)

LSU_rRNA_archaea 1178-1235 (+1)	=> 129210-129267 (-1)
Percent identity: 
Cigar string: 58M
ungapped:
LSU_rRNA_archaea 1178-1235 (+1)	=> 129210-129267 (-1)

Intron_gpII 1-93 (+1)	=> 135699-135828 (+1)
Percent identity: 
Cigar string: 38M7D15M29D38MD2M
ungapped:
Intron_gpII 1-38 (+1)	=> 135699-135736 (+1)
Intron_gpII 46-60 (+1)	=> 135737-135751 (+1)
Intron_gpII 90-127 (+1)	=> 135752-135789 (+1)
Intron_gpII 129-130 (+1)	=> 135790-135791 (+1)

Intron_gpII 1-93 (+1)	=> 137757-137891 (+1)
Percent identity: 
Cigar string: 53M42D40M
ungapped:
Intron_gpII 1-53 (+1)	=> 137757-137809 (+1)
Intron_gpII 96-135 (+1)	=> 137810-137849 (+1)

Intron_gpII 1-93 (+1)	=> 141940-142082 (-1)
Percent identity: 
Cigar string: 53M50D40M
ungapped:
Intron_gpII 1-53 (+1)	=> 142030-142082 (-1)
Intron_gpII 104-143 (+1)	=> 141990-142029 (-1)

Intron_gpII 1-93 (+1)	=> 143515-143585 (-1)
Percent identity: 
Cigar string: 45M22I26M
ungapped:
Intron_gpII 1-45 (+1)	=> 143541-143585 (-1)
Intron_gpII 46-71 (+1)	=> 143493-143518 (-1)

Intron_gpII 1-93 (+1)	=> 147048-147132 (-1)
Percent identity: 
Cigar string: 45M16I6M23I16D8MD2M
ungapped:
Intron_gpII 1-45 (+1)	=> 147088-147132 (-1)
Intron_gpII 46-51 (+1)	=> 147066-147071 (-1)
Intron_gpII 68-75 (+1)	=> 147035-147042 (-1)
Intron_gpII 77-78 (+1)	=> 147033-147034 (-1)

Intron_gpII 1-93 (+1)	=> 163507-163624 (+1)
Percent identity: 
Cigar string: 53M25D40M
ungapped:
Intron_gpII 1-53 (+1)	=> 163507-163559 (+1)
Intron_gpII 79-118 (+1)	=> 163560-163599 (+1)

Intron_gpII 1-93 (+1)	=> 169475-169585 (+1)
Percent identity: 
Cigar string: 53M18D40M
ungapped:
Intron_gpII 1-53 (+1)	=> 169475-169527 (+1)
Intron_gpII 72-111 (+1)	=> 169528-169567 (+1)

Intron_gpII 1-93 (+1)	=> 328078-328176 (-1)
Percent identity: 
Cigar string: 53M12D6IM23I23D10M
ungapped:
Intron_gpII 1-53 (+1)	=> 328124-328176 (-1)
Intron_gpII 66-66 (+1)	=> 328117-328117 (-1)
Intron_gpII 90-99 (+1)	=> 328084-328093 (-1)

Intron_gpII 1-93 (+1)	=> 333106-333195 (-1)
Percent identity: 
Cigar string: 2M2I41MI47M
ungapped:
Intron_gpII 1-2 (+1)	=> 333194-333195 (-1)
Intron_gpII 3-43 (+1)	=> 333151-333191 (-1)
Intron_gpII 44-90 (+1)	=> 333103-333149 (-1)

SSU_rRNA_bacteria 1-1533 (+1)	=> 361347-363276 (-1)
Percent identity: 
Cigar string: 76M72I8D8MI29MI19M26D9M11I3M10I7MI173MI33M2D3MID32M11IM5I138M2I141MD14MD65M2I4MI23MI133M6D22M3I4M3I6MI86M373I16D141MI160M58I11D86M
ungapped:
SSU_rRNA_bacteria 1-76 (+1)	=> 363201-363276 (-1)
SSU_rRNA_bacteria 85-92 (+1)	=> 363121-363128 (-1)
SSU_rRNA_bacteria 93-121 (+1)	=> 363091-363119 (-1)
SSU_rRNA_bacteria 122-140 (+1)	=> 363071-363089 (-1)
SSU_rRNA_bacteria 167-175 (+1)	=> 363062-363070 (-1)
SSU_rRNA_bacteria 176-178 (+1)	=> 363048-363050 (-1)
SSU_rRNA_bacteria 179-185 (+1)	=> 363031-363037 (-1)
SSU_rRNA_bacteria 186-358 (+1)	=> 362857-363029 (-1)
SSU_rRNA_bacteria 359-391 (+1)	=> 362823-362855 (-1)
SSU_rRNA_bacteria 394-396 (+1)	=> 362820-362822 (-1)
SSU_rRNA_bacteria 398-429 (+1)	=> 362787-362818 (-1)
SSU_rRNA_bacteria 430-430 (+1)	=> 362775-362775 (-1)
SSU_rRNA_bacteria 431-568 (+1)	=> 362632-362769 (-1)
SSU_rRNA_bacteria 569-709 (+1)	=> 362489-362629 (-1)
SSU_rRNA_bacteria 711-724 (+1)	=> 362475-362488 (-1)
SSU_rRNA_bacteria 726-790 (+1)	=> 362410-362474 (-1)
SSU_rRNA_bacteria 791-794 (+1)	=> 362404-362407 (-1)
SSU_rRNA_bacteria 795-817 (+1)	=> 362380-362402 (-1)
SSU_rRNA_bacteria 818-950 (+1)	=> 362246-362378 (-1)
SSU_rRNA_bacteria 957-978 (+1)	=> 362224-362245 (-1)
SSU_rRNA_bacteria 979-982 (+1)	=> 362217-362220 (-1)
SSU_rRNA_bacteria 983-988 (+1)	=> 362208-362213 (-1)
SSU_rRNA_bacteria 989-1074 (+1)	=> 362121-362206 (-1)
SSU_rRNA_bacteria 1091-1231 (+1)	=> 361607-361747 (-1)
SSU_rRNA_bacteria 1232-1391 (+1)	=> 361446-361605 (-1)
SSU_rRNA_bacteria 1403-1488 (+1)	=> 361302-361387 (-1)

SSU_rRNA_archaea 1-1477 (+1)	=> 361349-363271 (-1)
Percent identity: 
Cigar string: 24MD15MI2MI26M79I3D32MI23M19I12M8I27D3I14D166MI22M27I15D15M15I6D17MI114M2I12MI127MD16MD65M4I4M3I25MI62MI56M4D25MD8MI2M2D99M367I16D142MI146M86I30D71M
ungapped:
SSU_rRNA_archaea 1-24 (+1)	=> 363248-363271 (-1)
SSU_rRNA_archaea 26-40 (+1)	=> 363233-363247 (-1)
SSU_rRNA_archaea 41-42 (+1)	=> 363230-363231 (-1)
SSU_rRNA_archaea 43-68 (+1)	=> 363203-363228 (-1)
SSU_rRNA_archaea 72-103 (+1)	=> 363092-363123 (-1)
SSU_rRNA_archaea 104-126 (+1)	=> 363068-363090 (-1)
SSU_rRNA_archaea 127-138 (+1)	=> 363037-363048 (-1)
SSU_rRNA_archaea 180-345 (+1)	=> 362860-363025 (-1)
SSU_rRNA_archaea 346-367 (+1)	=> 362837-362858 (-1)
SSU_rRNA_archaea 383-397 (+1)	=> 362795-362809 (-1)
SSU_rRNA_archaea 404-420 (+1)	=> 362763-362779 (-1)
SSU_rRNA_archaea 421-534 (+1)	=> 362648-362761 (-1)
SSU_rRNA_archaea 535-546 (+1)	=> 362634-362645 (-1)
SSU_rRNA_archaea 547-673 (+1)	=> 362506-362632 (-1)
SSU_rRNA_archaea 675-690 (+1)	=> 362490-362505 (-1)
SSU_rRNA_archaea 692-756 (+1)	=> 362425-362489 (-1)
SSU_rRNA_archaea 757-760 (+1)	=> 362417-362420 (-1)
SSU_rRNA_archaea 761-785 (+1)	=> 362389-362413 (-1)
SSU_rRNA_archaea 786-847 (+1)	=> 362326-362387 (-1)
SSU_rRNA_archaea 848-903 (+1)	=> 362269-362324 (-1)
SSU_rRNA_archaea 908-932 (+1)	=> 362244-362268 (-1)
SSU_rRNA_archaea 934-941 (+1)	=> 362236-362243 (-1)
SSU_rRNA_archaea 942-943 (+1)	=> 362233-362234 (-1)
SSU_rRNA_archaea 946-1044 (+1)	=> 362134-362232 (-1)
SSU_rRNA_archaea 1061-1202 (+1)	=> 361625-361766 (-1)
SSU_rRNA_archaea 1203-1348 (+1)	=> 361478-361623 (-1)
SSU_rRNA_archaea 1379-1449 (+1)	=> 361321-361391 (-1)

SSU_rRNA_eukarya 1-1851 (+1)	=> 361352-363271 (-1)
Percent identity: 
Cigar string: 42MI16M97I29D20MI18M35I168D28M2I38MI116M9D15MI8MI26M2I4MI14MI213M37I219D5MD15MD66M10I2M3I12MI12MD5M4I57MI61M48I44D77MI5MI29M319D88MI9MI44M6I28M2I155MD19M20D16M2D86M
ungapped:
SSU_rRNA_eukarya 1-42 (+1)	=> 363230-363271 (-1)
SSU_rRNA_eukarya 43-58 (+1)	=> 363213-363228 (-1)
SSU_rRNA_eukarya 88-107 (+1)	=> 363096-363115 (-1)
SSU_rRNA_eukarya 108-125 (+1)	=> 363077-363094 (-1)
SSU_rRNA_eukarya 294-321 (+1)	=> 363014-363041 (-1)
SSU_rRNA_eukarya 322-359 (+1)	=> 362974-363011 (-1)
SSU_rRNA_eukarya 360-475 (+1)	=> 362857-362972 (-1)
SSU_rRNA_eukarya 485-499 (+1)	=> 362842-362856 (-1)
SSU_rRNA_eukarya 500-507 (+1)	=> 362833-362840 (-1)
SSU_rRNA_eukarya 508-533 (+1)	=> 362806-362831 (-1)
SSU_rRNA_eukarya 534-537 (+1)	=> 362800-362803 (-1)
SSU_rRNA_eukarya 538-551 (+1)	=> 362785-362798 (-1)
SSU_rRNA_eukarya 552-764 (+1)	=> 362571-362783 (-1)
SSU_rRNA_eukarya 984-988 (+1)	=> 362529-362533 (-1)
SSU_rRNA_eukarya 990-1004 (+1)	=> 362514-362528 (-1)
SSU_rRNA_eukarya 1006-1071 (+1)	=> 362448-362513 (-1)
SSU_rRNA_eukarya 1072-1073 (+1)	=> 362436-362437 (-1)
SSU_rRNA_eukarya 1074-1085 (+1)	=> 362421-362432 (-1)
SSU_rRNA_eukarya 1086-1097 (+1)	=> 362408-362419 (-1)
SSU_rRNA_eukarya 1099-1103 (+1)	=> 362403-362407 (-1)
SSU_rRNA_eukarya 1104-1160 (+1)	=> 362342-362398 (-1)
SSU_rRNA_eukarya 1161-1221 (+1)	=> 362280-362340 (-1)
SSU_rRNA_eukarya 1266-1342 (+1)	=> 362155-362231 (-1)
SSU_rRNA_eukarya 1343-1347 (+1)	=> 362149-362153 (-1)
SSU_rRNA_eukarya 1348-1376 (+1)	=> 362119-362147 (-1)
SSU_rRNA_eukarya 1696-1783 (+1)	=> 362031-362118 (-1)
SSU_rRNA_eukarya 1784-1792 (+1)	=> 362021-362029 (-1)
SSU_rRNA_eukarya 1793-1836 (+1)	=> 361976-362019 (-1)
SSU_rRNA_eukarya 1837-1864 (+1)	=> 361942-361969 (-1)
SSU_rRNA_eukarya 1865-2019 (+1)	=> 361785-361939 (-1)
SSU_rRNA_eukarya 2021-2039 (+1)	=> 361766-361784 (-1)
SSU_rRNA_eukarya 2060-2075 (+1)	=> 361750-361765 (-1)
SSU_rRNA_eukarya 2078-2163 (+1)	=> 361664-361749 (-1)

SSU_rRNA_microsporidia 1-1312 (+1)	=> 361352-363271 (-1)
Percent identity: 
Cigar string: 24MD17MI15MD10M79I3D33MI26M2I87MI128M56I19D9MI255MD15MD63M4D3MID20M2D5M4I57MI60M2D5IM40I21D46MD37M390I2D12MD37MI9MI51M22D10M2D22M2D117M3I70D7MI68M
ungapped:
SSU_rRNA_microsporidia 1-24 (+1)	=> 363248-363271 (-1)
SSU_rRNA_microsporidia 26-42 (+1)	=> 363231-363247 (-1)
SSU_rRNA_microsporidia 43-57 (+1)	=> 363215-363229 (-1)
SSU_rRNA_microsporidia 59-68 (+1)	=> 363205-363214 (-1)
SSU_rRNA_microsporidia 72-104 (+1)	=> 363093-363125 (-1)
SSU_rRNA_microsporidia 105-130 (+1)	=> 363066-363091 (-1)
SSU_rRNA_microsporidia 131-217 (+1)	=> 362977-363063 (-1)
SSU_rRNA_microsporidia 218-345 (+1)	=> 362848-362975 (-1)
SSU_rRNA_microsporidia 365-373 (+1)	=> 362783-362791 (-1)
SSU_rRNA_microsporidia 374-628 (+1)	=> 362527-362781 (-1)
SSU_rRNA_microsporidia 630-644 (+1)	=> 362512-362526 (-1)
SSU_rRNA_microsporidia 646-708 (+1)	=> 362449-362511 (-1)
SSU_rRNA_microsporidia 713-715 (+1)	=> 362446-362448 (-1)
